"domain","contrast","OR","cri_lo","cri_hi","P_OR_lt_1","n_divergent","max_rhat","min_bulk_ess"
"Accuracy","ChatGPT",0.325770802930745,0.194240966412275,0.539168442666422,0.9995,0,1.00532627919929,1055.01365870244
"Accuracy","OpenEvidence",0.114127265794988,0.0564724708689269,0.236868823962537,1,0,1.00532627919929,1055.01365870244
"Relevance","ChatGPT",0.385215124828522,0.19780128625547,0.698186160368061,0.99475,0,1.00574392313645,938.249345452456
"Relevance","OpenEvidence",0.108706542814971,0.0489796494935673,0.241975958547676,1,0,1.00574392313645,938.249345452456
"Clarity","ChatGPT",0.390157839962762,0.176712306414218,0.831820538001671,0.9895,0,1.00767759921832,587.196340599574
"Clarity","OpenEvidence",0.154749882337883,0.0600447622222715,0.397551078688706,0.99975,0,1.00767759921832,587.196340599574
"Trust","ChatGPT",0.273553332750148,0.148547107663568,0.506436983264883,0.99925,0,1.00571295404399,869.947336087457
"Trust","OpenEvidence",0.108097955226897,0.0458882925429546,0.270626382520001,1,0,1.00571295404399,869.947336087457
"Comparison","ChatGPT",0.526609310705266,0.313327385883681,0.878868062616769,0.99,0,1.0076288410948,887.561599214236
"Comparison","OpenEvidence",0.184890375156198,0.0850908230757348,0.427649028864364,0.99925,0,1.0076288410948,887.561599214236
"Confidence","ChatGPT",0.447898635667429,0.197481078923457,1.06393128507239,0.9665,0,1.00517471759421,692.512840234639
"Confidence","OpenEvidence",0.38399166811242,0.164514719755665,0.87187403964743,0.98475,0,1.00517471759421,692.512840234639
"Safety","ChatGPT",0.222651581160392,0.136679866407134,0.351168793834498,1,0,1.00529679900463,1158.25113011049
"Safety","OpenEvidence",0.0957325672696049,0.0593121346114957,0.149016685236501,1,0,1.00529679900463,1158.25113011049
