"domain","contrast","logOR","se","OR","ci_lo","ci_hi","p","spec","conv","logLik","p_holm","family"
"Accuracy","ChatGPT",-1.15427749622997,0.219894530208118,0.31528524941327,0.204892305801013,0.485156278118747,1.52734278062564e-07,"slope",0,-1711.19053645988,9.16405668375383e-07,"quality (10 contrasts)"
"Accuracy","OpenEvidence",-2.24178737907157,0.297292678245214,0.10626839262803,0.0593394443242843,0.190311375516598,4.67546064141005e-14,"slope",0,-1711.19053645988,4.67546064141005e-13,"quality (10 contrasts)"
"Relevance","ChatGPT",-1.10796626896533,0.315987156879487,0.330229877362471,0.177763529751671,0.613465383226662,0.000454272017742693,"slope",0,-1247.29763254174,0.00136281605322808,"quality (10 contrasts)"
"Relevance","OpenEvidence",-2.44388972450065,0.371851744151985,0.0868224782784142,0.041889539253781,0.179952868154913,4.95721096331151e-11,"slope",0,-1247.29763254174,4.46148986698036e-10,"quality (10 contrasts)"
"Clarity","ChatGPT",-1.08095733424445,0.393933008597805,0.339270574787086,0.156755810575155,0.734291905952503,0.00606931167326298,"slope",0,-1218.63225932443,0.00606931167326298,"quality (10 contrasts)"
"Clarity","OpenEvidence",-2.10584626851632,0.46190031878659,0.121742603729924,0.0492339972382259,0.301037136822883,5.1375146271588e-06,"slope",0,-1218.63225932443,2.05500585086352e-05,"quality (10 contrasts)"
"Trust","ChatGPT",-1.44479517658538,0.301785007036044,0.235794367817668,0.130511518678881,0.426008251664998,1.68873255937589e-06,"slope",0,-1718.32282337349,8.44366279687944e-06,"quality (10 contrasts)"
"Trust","OpenEvidence",-2.40767717618725,0.419220714344117,0.0900241621646254,0.0395832283756427,0.204742010846941,9.28924058749249e-09,"slope",0,-1718.32282337349,7.431392469994e-08,"quality (10 contrasts)"
"Comparison","ChatGPT",-0.661698785103924,0.196315983152394,0.515974060504687,0.351172363452103,0.758115554699695,0.000750100416037345,"slope",0,-1852.2562415618,0.00150020083207469,"quality (10 contrasts)"
"Comparison","OpenEvidence",-1.72817450061359,0.3189444811408,0.177608338126868,0.0950544224370225,0.331859591205106,6.01287233691109e-08,"slope",0,-1852.2562415618,4.20901063583776e-07,"quality (10 contrasts)"
"Confidence","ChatGPT",-0.860873506346062,0.379579476055914,0.422792608945592,0.200919835383225,0.889676172778431,0.0233312533021181,"slope",0,-968.095428006324,0.0309320062622737,"rater_confidence (2 contrasts)"
"Confidence","OpenEvidence",-0.944472511623244,0.39007174404013,0.388884648941072,0.1810443717551,0.8353271008424,0.0154660031311368,"slope",0,-968.095428006324,0.0309320062622737,"rater_confidence (2 contrasts)"
