domain,contrast,beta,se,p,conv,logOR,OR,ci_lo,ci_hi,OR_clmm,same_direction
Accuracy,ChatGPT,0.70332,0.11558,0.0,True,-0.70332,0.494939374337556,0.394610214508526,0.620777099180637,0.315293,True
Accuracy,OpenEvidence,1.49153,0.13366,0.0,True,-1.49153,0.225028099029408,0.173166174373748,0.292422267431379,0.106269,True
Relevance,ChatGPT,0.39497,0.08136,0.0,True,-0.39497,0.673700249953204,0.574396359032461,0.790172186243541,0.330229584668249,True
Relevance,OpenEvidence,1.14117,0.09438,0.0,True,-1.14117,0.319445052375562,0.265496186996069,0.384356335365135,0.0868221032175381,True
Clarity,ChatGPT,0.39722,0.09138,1e-05,True,-0.39722,0.672186128416308,0.561959890979032,0.804032811751265,0.339272648985106,True
Clarity,OpenEvidence,0.93675,0.07978,0.0,True,-0.93675,0.391899441063429,0.335169535181924,0.45823130023576,0.121743449361542,True
Trust,ChatGPT,0.77502,0.1205,0.0,True,-0.77502,0.460694567015486,0.363782178928839,0.583424632571413,0.235801052039602,True
Trust,OpenEvidence,1.46514,0.14223,0.0,True,-1.46514,0.231045642822982,0.174835315922037,0.305327838291488,0.0900271196547998,True
Comparison,ChatGPT,0.53858,0.13822,0.0001,True,-0.53858,0.583576342697344,0.445084467598661,0.76516116051728,0.515972897332324,True
Comparison,OpenEvidence,1.37389,0.13634,0.0,True,-1.37389,0.253120403575571,0.193763603810118,0.330660337888049,0.177610093207874,True
Confidence,ChatGPT,0.29604,0.05111,0.0,True,-0.29604,0.743757677118081,0.672861611334425,0.822123707094868,0.422804498041855,True
Confidence,OpenEvidence,0.31267,0.0507,0.0,True,-0.31267,0.731491264860968,0.66229645901669,0.807915342567783,0.38889721894525,True
